Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
BANK,JH291,BMO GLOBAL BANKS HEDGED TO CAD INDEX ETF,535700,20.81849,0.3602,0,1.30355,0.35,100000,0.15

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
SVENSKA HANDELSBANKEN AB,SHBA SS,713,15.85,3818,BXDZ9Q1
UMPQUA HOLDINGS CORP,UMPQ US,110,28.72,587,2484389
PEOPLE'S UNITED FINANCIAL INC,PBCT US,172,23.86,921,B1W41J2
INTESA SANPAOLO SPA,ISPR IM,460,3.94,2462,4076847
BANK OZK,OZK US,60,52.87,324,BZ56Q65
BERNER KANTONALBANK AG,BEKN SW,2,258.36,9,5679546
ZIONS BANCORPORATION,ZION US,95,67.16,509,2989828
PINNACLE FINL PARTNERS INC,PNFP US,38,81.54,201,2675097
BANKINTER SA,BKT SM,344,13.08,1844,5474008
TFS FINANCIAL CORP,TFSL US,25,21.22,135,B1W8J67
BANCA GENERALI SPA,BGN IM,29,33.55,156,B1HKSV6
HANG SENG BANK LTD,11 HK,354,34.45,1898,6408374
BANK OF AMERICA CORPORATION,BAC US,4619,40.50,24745,2295677
BANCO DE SABADELL SA,SAB SM,2817,2.15,15090,B1X8QN2
YAMAGUCHI FINANCIAL GROUP INC,8418 JP,90,14.78,481,B1DGKS9
PACWEST BANCORP,PACW US,64,65.22,342,2619772
BANCO BPM SPA,BAMI IM,764,4.08,4091,BYMD5K9
BANKUNITED INC,BKU US,52,51.69,280,B3NNTZ4
M&T BANK CORP,MTB US,71,224.48,379,2340168
UNICREDIT SPA,UCG IM,1092,22.51,5848,BYMXPS7
FIRST REPUBLIC BANK,FRC US,78,129.17,420,B4WHY15
SKANDINAVISKA ENSKILDA BANKEN AB,SEBA SS,702,13.90,3762,4813345
ING GROEP NV,INGA NA,1904,19.77,10201,BZ57390
THE GUNMA BANK,8334 JP,205,6.87,1100,6398088
JAPAN POST BANK CO LTD,7182 JP,205,15.58,1100,BYT8165
TCF FINANCIAL CORP,TCF US,82,32.59,441,2868455
BANKIA SA,BKIA SM,601,4.91,3220,BZ3C3Q4
FIRST CITIZENS BANCSHARES INC NRTH,FCNCA US,4,536.87,21,2355582
BANCO BPI SA,BPI PL,110,2.22,591,5721759
HUNTINGTON BANCSHARES INC,HBAN US,535,19.68,2865,2445966
FUKUOKA FINANCIAL GROUP,8354 JP,373,7.26,2000,B1TK1Y8
SUNTRUST BANKS INC,STI US,227,94.36,1215,2860990
BOK FINL CORP,BOKF US,13,129.09,72,2109091
BANCO COMERCIAL PORTUGUES SA,BCP PL,3891,0.41,20843,BZCNN35
UNIONE DI BANCHE ITALIANE SPA,UBI IM,509,5.39,2729,7622225
DAH SING BANKING GROUP LTD,2356 HK,181,2.77,970,B01G0P1
AUSTRALIA & NEW ZEALAND BNKING GRP LTD,ANZ AT,1418,28.48,7598,6065586
CULLEN/FROST BANKERS INC,CFR US,29,148.49,153,2239556
BAWAG GROUP AG,BG AV,17,59.77,90,BZ1GZ06
KEYCORP,KEY US,516,27.19,2764,2490911
FIRST HAWAIIAN INC,FHB US,34,36.50,184,BDC6HG1
TORONTO-DOMINION BANK,TD,903,76.88,4838,2897222
BANK OF QUEENSLAND LTD,BOQ AT,194,10.69,1040,6076243
FINECOBANK BANCA FINECO,FBK IM,197,15.56,1054,BNGN9Z1
BANK OF HAWAII CORP,BOH US,21,106.51,111,2074070
ASSOCIATED BANC CORP,ASB US,85,35.91,453,2055718
SUMITOMO MITSUI TRUST HOLDINGS INC,8309 JP,187,53.59,1000,6431897
BANK OF NOVA SCOTIA,BNS,596,76.58,3193,2076281
BASLER KANTONALBANK PC,BSKP SW,3,99.03,15,7097384
BB&T CORP,BBT US,380,66.06,2038,2830904
NEW YORK COMMUNITY BANCORP INC,NYCB US,239,13.71,1279,2711656
BENDIGO AND ADELAIDE BANK LTD,BEN AU,242,11.09,1299,6091280
ST GALLER KANTONALBANK AG,SGKN SW,1,689.44,6,7058262
ERSTE GROUP BANK AG,EBS AV,140,55.71,751,5289837

Open Currency Forwards Position,Quantity,Hedged Currency (%),FX Forward Rate,Value Date
AUD,-1038600,-9.210030090121891829406263018,0.97186,20180208
CAD,9350309.66,85.31689019650099550431805856,1.00000,20180208
CHF,-52400,-0.629014814131558143604577866,1.31559,20180208
DKK,-404000,-0.7568337510441790258681745524,0.20531,20180208
EUR,-1125600,-15.711660501709478837855055272,1.52978,20180208
GBP,-669400,-10.507732747613208034907848733,1.72034,20180208
HKD,-824700,-1.2501239708026827694356014006,0.16613,20180208
ILS,-155000,-0.5075771685198335509312351208,0.35889,20180208
JPY,-70186100,-7.5248526579271068351597253793,0.01175,20180208
NOK,-447200,-0.6542635070185083916984848049,0.16034,20180208
SEK,-1948500,-2.6478392935273220157718910635,0.14893,20180208
SGD,-315200,-2.759763672715621727624787212,0.95957,20180208
USD,-2711200,-32.244696349954161113452154899,1.30343,20180208

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
COMM,JH406,BMO GLOBAL COMMUNICATIONS INDEX ETF,401000,21.66059,0.16986,0,1.30355,0.35,100000,0.07

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
ALTICE USA INC,ATUS US,199,21.51,796,BDRY7P9
VIVENDI SA,VIV FP,439,31.49,1760,4834777
ILIAD SA,ILD FP,14,216.96,55,7759435
PCCW LIMITED,8 HK,2010,0.75,8062,6574071
ALPHABET INC,GOOG US,61,1647.30,243,BYY88Y7
PROXIMUS SA,PROX BB,75,30.16,301,B00D9P6
SQUARE ENIX HOLDINGS CO LTD,9684 JP,44,63.72,177,6309262
SPRINT CORP,S US,314,7.07,1261,BC4FF21
ELISA OYJ,ELISA FH,72,56.40,287,5701513
LIBERTY GLOBAL PLC,LBTYK US,277,34.39,1111,B8W67B1
AMDOCS LTD,DOX US,75,89.15,302,2256908
TELSTRA CORPORATION LTD,TLS AT,6174,2.66,24759,6087289
SNAP INC,SNAP US,241,17.45,965,BD8DJ71
NEXON CO LTD,3659 JP,224,19.97,900,B63QM77
DISCOVERY INC,DISCK US,179,31.36,718,B3D7KG4
CENTURYLINK INC,CTL US,557,23.80,2234,2185046
NIPPON TELEVISION HOLDINGS INC,9404 JP,76,21.00,306,6644060
RTL GROUP,RRTL GY,19,94.91,76,B1BK209
BANDAI NAMCO HOLDINGS INC,7832 JP,100,53.37,400,B0JDQD4
TELENET GROUP HOLDING NV,TNET BB,26,57.82,104,B0LKSK4
TELE2 AB,TEL2B SS,235,17.92,944,B97C733
DENA CO LTD,2432 JP,50,25.12,200,B05L364
21ST CENTURY FOX,FOX US,228,58.49,914,BBM4S80
SINGAPORE TELECOMMUNICATIONS,ST SP,4289,3.20,17200,B02PY22
NETFLIX INC,NFLX US,222,473.02,890,2857817
GARMIN LTD,GRMN US,52,82.66,209,B3Z5T14
WALT DISNEY CO,DIS US,755,144.93,3028,2270726
SKY PLC,SKY LN,549,25.94,2200,0141192
BEZEQ ISRAELI TELECOMM CORP LTD,BEZQ IT,1137,1.42,4560,6098032
COMCAST CORP,CMCSA US,2418,43.56,9696,2044545
SOFTBANK GROUP CORP,9984 JP,449,112.63,1800,6770620
TELUS CORP,T,311,47.02,1248,2381093
TELENOR ASA,TEL NO,357,25.41,1432,4732495
SHAW COMMUNICATIONS INC,SJR/B,228,26.31,913,2801836
ACTIVISION BLIZZARD INC,ATVI US,374,103.57,1499,2575818
HKT TRUST AND HKT LTD,6823 HK,1795,1.72,7196,B4TXDZ3
MILLICOM INTERNATIONAL CELLULAR SA,MIC SS,53,82.39,214,B00L2M8
QURATE RETAIL INC,QRTEA US,244,27.91,977,BZ19HB0
KONINKLIJKE KPN NV,KPN NA,1732,3.77,6947,5956078
SCHIBSTED ASA,SCHB NO,49,42.58,196,BWVFKQ3
21ST CENTURY FOX,FOXA US,552,58.91,2212,BBM4S68
ALTICE EUROPE NV,ATC NA,265,4.37,1063,BYT3416
VIACOM INC,VIAB US,185,36.34,741,B0SRLF4
MOTOROLA SOLUTIONS INC,MSI US,85,161.71,339,B5BKPQ4
ALTICE EUROPE NV,ATCB NA,37,4.34,148,BYT3405
PROSIEBENSAT 1 MEDIA SE,PSM GY,120,34.15,482,BCZM1B2
SINGAPORE PRESS HOLDINGS LTD,SPH SP,848,2.77,3400,B012899
NTT DOCOMO INC,9437 JT,623,33.80,2500,6129277
LIBERTY GLOBAL PLC,LBTYA US,102,35.76,408,B8W6766
CISCO SYSTEMS INC,CSCO US,1856,56.26,7442,2198163
VODAFONE GROUP PLC,VOD LN,13991,3.02,56104,BH4HKS3
CBS CORP,CBS US,175,74.71,700,B0SRLH6
KDDI CORP,9433 JP,898,36.75,3600,6248990
NIPPON TELEGRAPH AND TELEPHONE CORP,9432 JP,673,59.40,2700,6641373
ELECTRONIC ARTS INC,EA US,158,190.97,635,2310194
FACEBOOK INC,FB US,715,283.52,2869,B7TL820
TWITTER INC,TWTR US,346,57.64,1386,BFLR866
TELECOM ITALIA SPA,TIT IM,5983,0.95,23993,7634394
TELEFONICA DEUTSCHLAND HOLDING AG,O2D GR,347,5.96,1390,B7VG6L8
DEUTSCHE TELEKOM AG,DTE GR,1703,20.86,6828,5842359
APPLE INC,AAPL US,706,253.96,2830,2046251
FUJI MEDIA HOLDINGS INC,4676 JP,88,22.05,353,6036582
TELECOM ITALIA SPA,TITR IM,3165,0.83,12690,7634402
KAKAKU.COM INC,2371 JP,75,29.45,300,6689533
NOS SGPS,NOS PL,121,7.47,485,B0B9GS5
BCE INC,BCE,471,54.82,1890,B188TH2
BT GROUP PLC,BT/A LN,4438,3.83,17795,3091357
YAHOO JAPAN CORP,4689 JT,648,4.42,2600,6084848
QUEBECOR INC,QBR/B,80,27.57,319,2715777
MEDIASET SPA,MS IM,170,4.22,680,5077946
DISH NETWORK CORP,DISH US,116,38.81,465,2303581
DISCOVERY INC,DISCA US,80,33.72,321,B3D7K31
CHARTER COMMUNICATIONS INC,CHTR US,90,358.02,361,BZ6VT82
TELEFONICA SA,TEF SM,2548,11.32,10218,5732524
TELEKOM AUSTRIA AG,TKA AV,68,11.48,273,4635088
TOHO CO LTD,9602 JP,50,37.22,200,6895200
CHECK POINT SOFTWARE TECHNOLOGIES LTD,CHKP US,66,152.27,265,2181334
SEA LIMITED,SE US,95,18.85,381,BYWD7L4
NEC CORP,6701 JP,100,35.98,400,6640400
ORANGE,ORA FP,1053,21.41,4221,5176177
VERIZON COMMUNICATIONS INC,VZ US,1639,66.36,6572,2090571
PALO ALTO NETWORKS INC,PANW US,46,279.92,186,B87ZMX0
VIACOM INC,VIA US,4,43.02,15,B0SRLD2
ROGERS COMMUNICATIONS INC,RCI/B,188,64.76,755,2169051
TELIA COMPANY AB,TELIA SS,1303,6.12,5227,5978384
AT&T INC,T US,2935,39.43,11769,2831811
SCHIBSTED ASA,SCHA NO,38,45.78,151,4790534
T-MOBILE US INC,TMUS US,164,76.69,657,B94Q9V0
JUNIPER NETWORKS INC,JNPR US,176,36.76,706,2431846
MIXI INC,2121 JP,25,34.28,100,B1BSCX6
ARISTA NETWORKS INC,ANET US,27,357.58,107,BN33VM5
F5 NETWORKS INC,FFIV US,32,228.38,130,2427599
ITV PLC,ITV LN,1899,2.97,7616,3398649
SIRIUS XM HOLDINGS INC,SIRI US,620,9.31,2488,BGLDK10
ALPHABET INC,GOOGL US,59,1663.25,238,BYVY8G0
LIBERTY SIRIUS XM,LSXMA US,45,62.31,179,BD8QGF7
STARHUB LTD,STH SP,299,1.69,1200,B1CNDB5
ZAYO GROUP HLDGS INC,ZAYO US,112,48.26,449,BRJ3H07
SPARK NEW ZEALAND LTD,SPK NZ,961,3.41,3855,6881436
LIBERTY SIRIUS XM,LSXMK US,90,62.26,361,BD8QGH9
NOKIA OYJ,NOKIA FH,2840,7.75,11387,5902941
SWISSCOM AG,SCMN VX,13,590.07,53,5533976
TOKYO BROADCASTING SYSTEM HOLDINGS,9401 JP,50,27.54,200,6894166
TELEFONAKTIEBOLAGET LM ERICSSON,ERICB SS,1582,10.76,6345,5959378

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
DISC,JH288,BMO GLOBAL CONSUMER DISCRETIONARY HEDGED TO CAD INDEX ETF,950300,24.01796,0.3819,0,1.30355,0.35,100000,0.15

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
BERKELEY GROUP HOLDINGS PLC,BKG LN,39,64.31,369,B02L3W3
FORTUNE BRANDS HOME AND SECURITY,FBHS US,45,70.30,423,B3MC7D6
LAS VEGAS SANDS CORP,LVS US,109,97.92,1039,B02T2J7
LIBERTY GLOBAL PLC,LBTYK US,168,34.39,1595,B8W67B1
EDENRED SA,EDEN FP,74,51.87,700,B62G1B5
KINGFISHER PLC,KGF LN,671,5.37,6379,3319521
PEARSON PLC,PSON LN,243,15.66,2308,0677608
PLASTIC OMNIUM,POM FR,17,53.48,164,B08V9H4
RAKUTEN INC,4755 JP,242,9.20,2300,6229597
REXEL SA,RXL FP,95,18.60,904,B1VP0K0
H & M HENNES & MAURITZ AB,HMB SS,269,20.65,2552,5687431
LULULEMON ATHLETICA INC,LULU US,30,162.98,285,B23FN39
YAMAHA MOTOR CO LTD,7272 JP,84,34.67,800,6985264
SUMITOMO RUBBER INDUSTRIES LTD,5110 JP,53,20.89,500,6858991
BANDAI NAMCO HOLDINGS INC,7832 JP,63,53.37,600,B0JDQD4
KOHLS CORP,KSS US,51,96.29,486,2496113
FAST RETAILING CO LTD,9983 JP,16,581.89,150,6332439
ULTA BEAUTY INC,ULTA US,17,330.31,166,B28TS42
HILTON GRAND VACATIONS,HGV US,30,44.72,288,BYSLHX4
21ST CENTURY FOX,FOX US,150,58.49,1421,BBM4S80
NETFLIX INC,NFLX US,128,473.02,1213,2857817
PULTEGROUP INC,PHM US,82,37.78,776,2708841
H & R BLOCK INC,HRB US,66,32.75,624,2105505
GARMIN LTD,GRMN US,35,82.66,331,B3Z5T14
TEMPUR SEALY INTERNATIONAL INC,TPX US,14,65.16,136,2216991
WALT DISNEY CO,DIS US,457,144.93,4339,2270726
POOL CORPORATION,POOL US,12,204.74,117,2781585
GENUINE PARTS CO,GPC US,44,126.44,416,2367480
ACCOR SA,AC FP,63,67.14,603,5852842
JARDINE CYCLE & CARRIAGE LTD,JCNC SP,32,32.14,300,6242260
ADVANCE AUTO PARTS INC,AAP US,22,183.11,211,2822019
UNDER ARMOUR INC,UAA US,58,27.48,553,B0PZN11
IIDA GROUP HOLDINGS CO LTD,3291 JP,42,26.24,400,BFDTBS3
WYNDHAM DESTINATIONS INC,WYND US,31,59.44,291,BF108T8
CARNIVAL CORP,CCL US,124,75.31,1179,2523044
SHAW COMMUNICATIONS INC,SJR/B,138,26.31,1314,2801836
BURLINGTON STORES,BURL US,20,199.50,194,BF311Y5
APTIV PLC,APTV US,81,124.10,769,B783TY6
PENSKE AUTOMOTIVE GROUP INC,PAG US,11,62.92,104,2943523
GENTING SINGAPORE LTD,GENS SP,1820,1.24,17300,BDRTVP2
HARLEY DAVIDSON INC,HOG US,52,58.78,494,2411053
NORDSTROM INC,JWN US,37,69.62,351,2641827
GESTAMP AUTOMOCION,GEST SM,49,9.83,464,BD6K6R3
YUM CHINA HOLDINGS INC,YUMC US,113,42.10,1076,BYW4289
FAURECIA SA,EO FP,23,89.26,219,4400446
SHIMAMURA,8227 JP,11,119.56,100,6804035
DELPHI TECHNOLOGIES PLC,DLPH US,28,58.27,262,BD85SC5
DICKS SPORTING GOODS INC,DKS US,24,43.99,231,2969637
21ST CENTURY FOX,FOXA US,319,58.91,3036,BBM4S68
VOLKSWAGEN AG,VOW GR,10,218.45,95,5497102
CONTINENTAL AG,CON GY,33,296.21,315,4598589
MITSUBISHI MOTORS CORP,7211 JP,195,10.51,1850,6598446
RENAULT SA,RNO FP,56,110.51,535,4712798
VIACOM INC,VIAB US,108,36.34,1027,B0SRLF4
BEST BUY CO INC,BBY US,74,98.18,703,2094670
PROSIEBENSAT 1 MEDIA SE,PSM GY,72,34.15,684,BCZM1B2
BRUNSWICK CORP,BC US,27,85.84,256,2149309
THOMAS COOK GROUP PLC,TCG LN,422,1.55,4012,B1VYCH8
FORD MOTOR CO,F US,1195,13.71,11354,2615468
HASBRO INC,HAS US,35,132.53,332,2414580
GCI LIBERTY INC,GLIBA US,32,58.61,300,BF7J0Q0
SERVICE CORPORATION INTERNATIONAL,SCI US,55,49.16,524,2797560
LIBERTY GLOBAL PLC,LBTYA US,66,35.76,624,B8W6766
GOODYEAR TIRE & RUBBER CO,GT US,75,28.21,716,2378200
MARUI GROUP CO LTD,8252 JP,63,26.22,600,6569527
AMER SPORTS CORP,AMEAS FH,36,43.66,339,4024006
CHOICE HOTELS INTERNATIONAL INC,CHH US,11,101.22,103,2106780
BAYERISCHE MOTOREN WERKE AG,BMW3 GR,17,108.03,165,5756030
CBS CORP,CBS US,101,74.71,958,B0SRLH6
PERSIMMON,PSN LN,95,42.71,902,0682538
ADIENT PLC,ADNT US,29,58.02,275,BD845X2
RESTAURANT BRANDS INTERNATIONAL INC,QSR,67,84.00,638,BTF8CF0
INCHCAPE PLC,INCH LN,129,13.55,1226,B61TVQ0
NISSAN MOTOR CO LTD,7201 JP,589,12.17,5600,6642860
ROSS STORES INC,ROST US,113,114.01,1077,2746711
YAMAHA CORP,7951 JP,53,62.03,500,6642387
DARDEN RESTAURANTS INC,DRI US,38,139.55,360,2289874
ESTEE LAUDER COMPANIES INC,EL US,67,184.47,634,2320524
HAKUHODO DY HOLDINGS INC,2433 JP,74,20.04,700,B05LZ02
POLA ORBIS HOLDINGS INC,4927 JP,21,53.73,200,B5N4QN8
THE SWATCH GROUP AG,UHRN SE,14,113.60,137,7184736
NGK SPARK PLUG CO LTD,5334 JP,63,37.71,600,6619604
BOOKING HOLDINGS INC,BKNG US,15,2692.73,140,BDRXDB4
JTEKT CORP,6473 JP,74,18.26,700,6497082
LVMH MOET HENNESSY LOUIS VUITTON SE,MC FP,76,469.81,723,4061412
MADISON SQUARE GARDEN INC (NEW),MSG US,6,410.08,55,BYQCZ35
WESFARMERS LTD,WES AT,347,47.81,3298,6948836
JOHN WILEY & SONS INC,JW/A US,14,82.84,130,2965668
LKQ CORP,LKQ US,97,43.93,920,2971029
CAESARS ENTERTAINMENT CORP,CZR US,186,15.12,1770,B3TDL41
AMAZON.COM INC,AMZN US,124,2429.31,1178,2000019
SEKISUI HOUSE LTD,1928 JP,174,22.67,1650,6793906
STANLEY ELECTRIC CO LTD,6923 JP,42,44.94,400,6841106
HELLA GMBH & CO KG,HLE GR,14,75.19,131,BSHYK55
AEON CO LTD,8267 JP,210,26.16,2000,6480048
CARTER'S INC,CRI US,14,150.72,137,2980939
CECONOMY AG,CEC GY,50,10.64,478,5041413
BAYERISCHE MOTOREN WERKE AG,BMW GY,98,122.19,935,5756029
SUZUKI MOTOR CORP,7269 JP,126,78.25,1200,6865504
INTERCONTINENTAL HOTELS GROUP PLC,IHG LN,58,80.66,555,BD8QVH4
MEDIASET SPA,MS IM,94,4.22,890,5077946
NIKE INC,NKE US,384,100.58,3652,2640147
MICHAEL KORS HLDGS LTD,KORS US,45,89.05,426,B7341C6
TRIBUNE MEDIA COMP,TRCO US,27,44.22,261,B9GRTP5
MELCO RESORTS & ENTERTAINMENT LTD,MLCO US,74,33.83,703,B1KYHF2
BARRATT DEVELOPMENTS PLC,BDEV LN,316,9.13,3005,0081180
GRAHAM HOLDINGS CO,GHC US,1,733.77,13,BGM1B98
DISH NETWORK CORP,DISH US,70,38.81,662,2303581
L BRANDS INC,LB US,71,40.44,674,B9M2WX3
HONDA MOTOR CO LTD,7267 JP,537,39.14,5100,6435145
STARBUCKS CORP,SBUX US,411,67.29,3910,2842255
RELX PLC,REL LN,319,28.98,3027,B2B0DG9
BORGWARNER INC,BWA US,65,57.38,621,2111955
CHARTER COMMUNICATIONS INC,CHTR US,55,358.02,520,BZ6VT82
SIX FLAGS ENTERTAINMENT CORP,SIX US,22,87.66,213,B43VKB8
VISTEON CORPORATION,VC US,9,162.33,88,B4N0JJ6
THOR INDUSTRIES INC,THO US,16,117.66,150,2889876
TJX COMPANIES INC,TJX US,192,127.33,1825,2989301
TOYOTA MOTOR CORP,7203 JP,784,86.15,7450,6900643
POLARIS INDUSTRIES INC,PII US,19,143.55,177,2692933
LIBERTY BROADBAND,LBRDK US,33,96.71,310,BRTLC06
ASICS CORP,7936 JP,53,21.26,500,6057378
CYBERAGENT INC,4751 JP,32,74.20,300,6220501
EXTENDED STAY AMERICA,STAY US,59,28.48,564,BGH3F75
FORMULA ONE GROUP,FWONA US,8,43.90,72,BD72R64
VOLKSWAGEN AG,VOW3 GR,56,223.27,534,5497168
GAP INC,GPS US,67,39.20,635,2360326
HILTON WORLDWIDE HOLDINGS INC,HLT US,85,104.77,812,BYVMW06
HENKEL AG & CO KGAA,HEN3 GY,54,162.29,509,5076705
START TODAY CO LTD,3092 JP,53,55.51,500,B292RC1
GENERAL MOTORS CO,GM US,401,49.08,3811,B665KZ5
MACYS INC,M US,94,52.36,889,2345022
WOLTERS KLUWER NV,WKL NA,86,79.46,820,5671519
GREENE KING PLC,GNK LN,95,8.92,901,B0HZP13
EXPEDIA GROUP INC,EXPE US,37,166.28,350,B748CK2
